GEO,UNIT,HAZARD,NACE_R2,TIME\WASTE	Total Waste	Chemical and medical wastes (subtotal)	Recyclable wastes (subtotal, W06+W07 except W077)	Equipment (subtotal, W077+W08A+W081+W0841)	Animal and vegetal wastes (subtotal, W091+W092+W093)	Mixed ordinary wastes (subtotal, W101+W102+W103)	Common sludges	Mineral and solidified wastes (subtotal)
Bosnia and Herzegovina,Tonne,Hazardous and non-hazardous - Total,All NACE activities plus households,2014	:	:	:	:	:	:	:	:
Kosovo (under United Nations Security Council Resolution 1244/99),Tonne,Hazardous and non-hazardous - Total,All NACE activities plus households,2014	1 039 803	834	61 383	23	3 880	756 442	0	217 241
European Union (28 countries),Tonne,Hazardous,All NACE activities plus households,2014	94 780 000	26 640 000	1 760 000	10 030 000	0	3 880 000	0	52 470 000
Belgium,Tonne,Hazardous,All NACE activities plus households,2014	2 946 195	1 098 430	108 950	446 055	:	40 651	:	1 252 109
Bulgaria,Tonne,Hazardous,All NACE activities plus households,2014	12 206 169	151 965	20	24 544	:	14 498	:	12 015 142
Czech Republic,Tonne,Hazardous,All NACE activities plus households,2014	1 162 342	591 768	15 873	17 937	:	65 021	:	471 743
Denmark,Tonne,Hazardous,All NACE activities plus households,2014	1 718 394	259 935	25 236	76 797	:	170 264	:	1 186 162
Germany (until 1990 former territory of the FRG),Tonne,Hazardous,All NACE activities plus households,2014	21 812 660	6 299 222	1 081 826	1 484 266	:	1 791 407	:	11 155 939
Estonia,Tonne,Hazardous,All NACE activities plus households,2014	10 410 321	1 660 234	5	19 354	:	11 094	:	8 719 633
Ireland,Tonne,Hazardous,All NACE activities plus households,2014	482 907	302 246	217	85 943	:	3 279	:	91 222
Greece,Tonne,Hazardous,All NACE activities plus households,2014	221 041	108 986	7	48 292	:	338	:	63 418
Spain,Tonne,Hazardous,All NACE activities plus households,2014	2 984 518	1 725 914	3 099	604 549	:	57 870	:	593 086
France,Tonne,Hazardous,All NACE activities plus households,2014	10 782 969	3 406 677	32 821	2 052 240	:	521 395	:	4 769 836
Croatia,Tonne,Hazardous,All NACE activities plus households,2014	130 239	45 572	48	46 718	:	11 182	:	26 719
Italy,Tonne,Hazardous,All NACE activities plus households,2014	8 923 548	3 877 058	7 300	1 494 840	:	614 955	:	2 929 395
Cyprus,Tonne,Hazardous,All NACE activities plus households,2014	173 377	13 280	139	16 862	:	822	:	142 274
Latvia,Tonne,Hazardous,All NACE activities plus households,2014	104 142	52 209	9	20 721	:	14 389	:	16 814
Lithuania,Tonne,Hazardous,All NACE activities plus households,2014	165 477	58 943	480	54 118	:	14 640	:	37 296
Luxembourg,Tonne,Hazardous,All NACE activities plus households,2014	237 180	44 529	41 508	2 533	:	0	:	148 610
Hungary,Tonne,Hazardous,All NACE activities plus households,2014	596 554	307 312	186	22 232	:	58 052	:	208 772
Malta,Tonne,Hazardous,All NACE activities plus households,2014	36 654	18 744	0	7 623	:	20	:	10 268
Netherlands,Tonne,Hazardous,All NACE activities plus households,2014	4 830 495	1 391 068	67 886	391 680	:	63 474	:	2 916 387
Austria,Tonne,Hazardous,All NACE activities plus households,2014	1 272 288	412 877	45 548	: c	:	9 528	:	667 912
Poland,Tonne,Hazardous,All NACE activities plus households,2014	1 681 037	807 628	733	74 326	:	86 628	:	711 722
Portugal,Tonne,Hazardous,All NACE activities plus households,2014	461 629	273 539	474	82 952	:	18 515	:	86 149
Romania,Tonne,Hazardous,All NACE activities plus households,2014	590 307	227 753	724	132 270	:	13 779	:	215 781
Slovenia,Tonne,Hazardous,All NACE activities plus households,2014	155 229	72 825	37	16 735	:	24 662	:	: c
Slovakia,Tonne,Hazardous,All NACE activities plus households,2014	371 214	231 270	221	13 343	:	4 303	:	122 077
Finland,Tonne,Hazardous,All NACE activities plus households,2014	1 998 693	496 974	2 997	77 119	:	37 913	:	1 383 690
Sweden,Tonne,Hazardous,All NACE activities plus households,2014	2 568 154	625 647	271 616	465 056	:	84 960	:	1 120 875
United Kingdom,Tonne,Hazardous,All NACE activities plus households,2014	5 755 258	2 073 422	53 626	2 113 303	:	146 156	:	1 368 753
Iceland,Tonne,Hazardous,All NACE activities plus households,2014	38 960 b	11 191 b	203 b	1 309 b	: b	0 b	: b	26 257 b
Liechtenstein,Tonne,Hazardous,All NACE activities plus households,2014	5 744	1 362	794	121	:	0	:	3 467
Norway,Tonne,Hazardous,All NACE activities plus households,2014	1 368 049	904 048	42 851	183 809	:	524	:	236 817
Montenegro,Tonne,Hazardous,All NACE activities plus households,2014	284 124	20 513	0	580	0	26	0	263 005
Former Yugoslav Republic of Macedonia, the,Tonne,Hazardous,All NACE activities plus households,2014	40 797	3 942	20	258	:	20	:	36 557
Albania,Tonne,Hazardous,All NACE activities plus households,2014	:	:	:	:	:	:	:	:
Serbia,Tonne,Hazardous,All NACE activities plus households,2014	13 475 026	23 372	264	11 553	:	294	:	13 439 543
Turkey,Tonne,Hazardous,All NACE activities plus households,2014	3 432 426	:	:	:	:	:	:	:
Bosnia and Herzegovina,Tonne,Hazardous,All NACE activities plus households,2014	:	:	:	:	:	:	:	:
Kosovo (under United Nations Security Council Resolution 1244/99),Tonne,Hazardous,All NACE activities plus households,2014	495	495	0	0	:	0	:	0
European Union (28 countries),Tonne,Non-hazardous,All NACE activities plus households,2014	2 399 920 000	28 330 000	232 780 000	6 130 000	88 670 000	282 290 000	18 490 000	1 743 240 000
Belgium,Tonne,Non-hazardous,All NACE activities plus households,2014	53 488 631	1 298 938	13 546 193	157 520	5 635 143	6 837 794	579 150	25 433 893
Bulgaria,Tonne,Non-hazardous,All NACE activities plus households,2014	167 470 842	366 263	2 370 544	108 116	983 646	3 209 481	78 817	160 353 975
Czech Republic,Tonne,Non-hazardous,All NACE activities plus households,2014	22 232 614	205 664	: c	61 644	583 264	: c	348 833	: c
Denmark,Tonne,Non-hazardous,All NACE activities plus households,2014	18 362 916	57 478	3 336 052	91 817	1 087 281	3 385 597	187 953	10 216 738
Germany (until 1990 former territory of the FRG),Tonne,Non-hazardous,All NACE activities plus households,2014	365 691 581	2 522 122	37 778 910	980 819	15 011 037	43 526 823	1 614 740	264 257 130
Estonia,Tonne,Non-hazardous,All NACE activities plus households,2014	11 393 719	89 923	1 263 102	14 958	149 633	473 508	27 245	9 375 351
Ireland,Tonne,Non-hazardous,All NACE activities plus households,2014	14 683 923	473 866	1 434 169	126 931	554 285	3 670 828	616 688	7 807 156
Greece,Tonne,Non-hazardous,All NACE activities plus households,2014	69 537 827	142 637	1 125 057	140 168	575 225	7 494 727	138 035	59 921 978
Spain,Tonne,Non-hazardous,All NACE activities plus households,2014	107 533 976	1 264 432	12 342 789	598 048	8 058 640	32 269 422	1 438 320	51 562 325
France,Tonne,Non-hazardous,All NACE activities plus households,2014	313 680 000	1 460 506	34 466 374	166 442	11 304 163	33 356 649	1 394 495	231 531 371
Croatia,Tonne,Non-hazardous,All NACE activities plus households,2014	3 594 324	11 242	904 372	11 360	395 664	1 479 888	16 830	774 968
Italy,Tonne,Non-hazardous,All NACE activities plus households,2014	150 183 621	12 193 966	26 496 370	1 305 186	6 921 585	38 801 912	5 455 319	59 009 283
Cyprus,Tonne,Non-hazardous,All NACE activities plus households,2014	1 877 473	8 124	281 200	1 275	112 018	232 456	6 906	1 235 493
Latvia,Tonne,Non-hazardous,All NACE activities plus households,2014	2 517 353	13 415	331 175	4 350	105 480	1 385 619	22 705	654 609
Lithuania,Tonne,Non-hazardous,All NACE activities plus households,2014	6 034 973	11 181	1 065 807	28 573	551 038	1 355 143	48 937	2 974 294
Luxembourg,Tonne,Non-hazardous,All NACE activities plus households,2014	6 835 578	3 296	341 855	4 865	95 427	255 433	10 639	6 124 063
Hungary,Tonne,Non-hazardous,All NACE activities plus households,2014	16 054 085	181 870	3 230 132	27 834	699 238	4 354 021	164 486	7 396 504
Malta,Tonne,Non-hazardous,All NACE activities plus households,2014	1 628 181	4 383	82 875	149	16 605	266 386	9 626	1 248 159
Netherlands,Tonne,Non-hazardous,All NACE activities plus households,2014	128 419 258	1 000 803	8 445 684	142 730	14 718 640	10 183 447	637 871	93 290 083
Austria,Tonne,Non-hazardous,All NACE activities plus households,2014	54 596 010	283 871	5 780 404	29 751	1 887 723	: c	432 207	41 755 981
Poland,Tonne,Non-hazardous,All NACE activities plus households,2014	177 498 862	1 679 191	13 932 841	150 126	3 112 616	23 525 214	626 376	134 472 498
Portugal,Tonne,Non-hazardous,All NACE activities plus households,2014	14 125 288	543 953	4 683 270	87 126	183 064	5 283 545	687 260	2 657 070
Romania,Tonne,Non-hazardous,All NACE activities plus households,2014	175 744 001	688 133	4 530 825	0	1 063 964	6 469 116	212 511	162 779 452
Slovenia,Tonne,Non-hazardous,All NACE activities plus households,2014	4 531 188	155 048	1 222 715	9 624	289 773	642 787	180 419	2 030 822
Slovakia,Tonne,Non-hazardous,All NACE activities plus households,2014	8 491 564	323 113	1 490 761	17 568	920 338	1 578 157	293 818	3 867 809
Finland,Tonne,Non-hazardous,All NACE activities plus households,2014	93 971 195	509 739	5 713 160	135 835	1 079 091	2 856 449	397 613	83 279 308
Sweden,Tonne,Non-hazardous,All NACE activities plus households,2014	164 458 732	689 461	5 168 544	256 615	2 205 186	4 823 992	423 457	150 891 477
United Kingdom,Tonne,Non-hazardous,All NACE activities plus households,2014	245 281 971	2 144 784	36 926 018	1 470 823	10 365 788	36 499 572	2 440 037	155 434 948
Iceland,Tonne,Non-hazardous,All NACE activities plus households,2014	760 240 b	78 528 b	110 451 b	9 647 b	41 388 b	136 987 b	3 720 b	379 519 b
Liechtenstein,Tonne,Non-hazardous,All NACE activities plus households,2014	563 323	10	15 041	410	9 934	12 400	2 716	522 812
Norway,Tonne,Non-hazardous,All NACE activities plus households,2014	10 358 811	23 745	3 292 721	215 996	866 632	3 013 926	152 159	2 793 632
Montenegro,Tonne,Non-hazardous,All NACE activities plus households,2014	879 900	10 039	54 358	500	45 492	260 481	10 208	498 822
Former Yugoslav Republic of Macedonia, the,Tonne,Non-hazardous,All NACE activities plus households,2014	2 145 815	947 351	1 005 604	962	91 933	14 941	30	84 994
Albania,Tonne,Non-hazardous,All NACE activities plus households,2014	:	:	:	:	:	1 228 884	:	:
Serbia,Tonne,Non-hazardous,All NACE activities plus households,2014	35 653 284	9 516	378 161	2 835	199 453	1 651 715	143 299	33 268 305
Turkey,Tonne,Non-hazardous,All NACE activities plus households,2014	69 642 693	:	:	:	:	:	36 794	:
Bosnia and Herzegovina,Tonne,Non-hazardous,All NACE activities plus households,2014	:	:	:	:	:	:	:	:
Kosovo (under United Nations Security Council Resolution 1244/99),Tonne,Non-hazardous,All NACE activities plus households,2014	1 039 308	339	61 383	23	3 880	756 442	0	217 241
